date,organisation,amount
,Artisanal Studio Pvt.Ltd.,3755.0
,Artisanal Studio Pvt.Ltd.,3755.0
,Artisanal Studio Pvt.Ltd.,3755.0
,Artisanal Studio Pvt.Ltd.,3755.0
,Artisanal Studio Pvt.Ltd.,3755.0
,Artisanal Studio Pvt.Ltd.,3755.0
,Artisanal Studio Pvt.Ltd.,3755.0
,Artisanal Studio Pvt.Ltd.,3755.0
,Artisanal Studio Pvt.Ltd.,3755.0
,Artisanal Studio Pvt.Ltd.,3755.0
,Artisanal Studio Pvt.Ltd.,3755.0
,Artisanal Studio Pvt.Ltd.,3755.0
,Artisanal Studio Pvt.Ltd.,3755.0
,Artisanal Studio Pvt.Ltd.,3755.0
,Artisanal Studio Pvt.Ltd.,3755.0
